requested_title,costco_cost_reference,item_id,resolution,match_score,requested_brand,requested_pack,catalog_title,pool,url_derived,resolution_notes
Krikland Signature Ultra Clean Premium Laundry Detergent with 2X Concentrate,29.99,,unresolved_needs_lookup,,,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Ultra Soft Diapers, Size 4, 198 ct' (score 0.07) — requires slug/search lookup or operator id"
"Kirkland Signature Whole Almonds, Baking Nuts, 3 lbs",17.15,284601,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Whole Almonds, Baking Nuts, 3 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
Kirkland Signature AA Batteries 48 Count,14.99,2322010,resolved_catalog_fuzzy,0.5,Kirkland Signature,48 count,"Kirkland Signature Alkaline AA Batteries, 48 ct",reviewed_fuzzy,False,"catalog uses 'Alkaline AA Batteries, 48 ct'; same product line | reviewed match"
"Kirkland Signature Extra Virgin Olive Oil, 2 Liter",25.51,71003,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Extra Virgin Olive Oil, 2 Liter",items,False,normalized-name equality vs 2026-08-14 catalog
Kirkland Signature Dishwasher Detergent Pacs 115 Count,13.99,,unresolved_needs_lookup,,Kirkland Signature,115 count,,,,no catalog id-bearing candidate
"Kirkland Signature, Pure Sea Salt, 30 oz",4.39,384732,resolved_catalog_fuzzy,0.71,Kirkland Signature,,"Kirkland Signature Pure Sea Salt, Fine Grain, 30 oz",reviewed_fuzzy,False,catalog adds 'Fine Grain'; matches tracked 30 oz sea salt | reviewed match
"Kirkland Signature, Crushed Red Pepper, 10 oz",5.27,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Fine Ground Black Pepper, 12.3 oz' (score 0.20) — requires slug/search lookup or operator id"
"Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls",26.39,,unresolved_needs_lookup,,Kirkland Signature,160 sheets,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Smoked Salmon, 12 oz, 2 ct' (score 0.14) — requires slug/search lookup or operator id"
Kirkland Signature Women's Travel Pant,19.79,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Nature's Domain Dog Food, Salmon & Sweet Potato, 25 lbs' (score 0.08) — requires slug/search lookup or operator id"
"Kirkland Signature Elegant Plastic Plates, Variety Pack, White, 50-count",17.59,1343253,resolved_catalog_fuzzy,0.4,Kirkland Signature,50 count,"Kirkland Signature Elegant Plastic Plate, White, 50 ct",reviewed_fuzzy,False,catalog row is singular 'Plate' 50 ct; flag for manual_verify on live run | manual_verify
"Kirkland Signature Bath Tissue, 2-Ply, 380 Sheets, 30 Rolls",27.49,,unresolved_needs_lookup,,Kirkland Signature,380 sheets,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Gouda Cheese, 2 lbs' (score 0.09) — requires slug/search lookup or operator id"
"Kirkland Signature Coffee Organic Pacific Bold K-Cup Pod, 120-count",37.39,,unresolved_needs_lookup,,Kirkland Signature,120 count,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Organic Quinoa, 4.5 lbs' (score 0.08) — requires slug/search lookup or operator id"
"Kirkland Signature Men's Midweight Crew Tee, 6-pack",26.39,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Snacking Nuts, Variety Pack, 1.6 oz, 21 ct' (score 0.14) — requires slug/search lookup or operator id"
"Kirkland Signature Hair Regrowth Treatment Extra Strength for Men, 5% Minoxidil Topical Solution, 2 fl oz, 6-pack",19.79,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Olive Oil, 5.4 fl oz' (score 0.16) — requires slug/search lookup or operator id"
"Kirkland Signature Men's Boxer Brief, 4-pack",20.89,,unresolved_needs_lookup,,Kirkland Signature,,,,,"no catalog match; nearest id-bearing row: 'Kirkland Signature Trail Mix, 4 lbs' (score 0.11) — requires slug/search lookup or operator id"
